reindex,Index,CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),LAND/SEA (SAMPLING),ELEVATION (MIN.),ELEVATION (MAX.),ROCK NAME,ROCK TEXTURE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),ALTERATION,LITHOLOGY CODE,SPOT,CRYSTAL,RIM/CORE (MINERAL GRAINS),GRAIN SIZE,PRIMARY/SECONDARY,V(PPM),MN(PPM),AS(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),U(PPB),ND143_ND144,Eu/Eu* 
2022,12248,[23497] QU PAN (2019),samp. 17LCD-03,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / LINCHANGDONG GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17LCD-03-14,,,,primary,20.4973355,,,0.052432947,245.2774706,319.7478038,1.233006118,1.84E-03,0.231149627,1862.452568,2908.394141,264.5673927,949.8454939,128.1160029,12.78762085,98.42196459,10.95818454,55.68901203,10.92769163,28.2902588,4.04980233,27.47039431,4.556394276,5.153827398,,67.22707999,28.29402653,,0.512607372,0.245557774
2023,12249,[23497] QU PAN (2019),samp. 17LCD-03,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / LINCHANGDONG GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17LCD-03-15,,,,primary,9.564525908,,,5.84E-02,193.7748789,519.6700845,0.553170607,,0.328532386,2378.041863,3373.237559,320.8889676,1267.952482,209.9416925,15.66711531,161.2877266,19.32202399,97.30223516,18.27247482,46.04043169,6.37598641,41.88313664,6.818062049,4.505922128,,56.58607826,65.68978257,,,0.14341548
2024,12250,[23497] QU PAN (2019),samp. 17LCD-03,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / LINCHANGDONG GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17LCD-03-16,,,,primary,12.29549086,,,5.06E-02,235.0288037,950.6885162,0.809203876,5.54E-03,0.104897328,1702.716481,4008.048708,522.2304534,2405.64321,457.5543864,25.61883863,347.9158698,41.11502927,205.5756154,36.61727719,85.73708768,10.10112922,58.29401019,7.830739884,5.120240953,,85.64666898,28.09220136,,,0.073641308
2025,12251,[23497] QU PAN (2019),samp. 17CHZ-13,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / CHAIHEZHEN GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17CHZ-13-01 ,,,,primary,19.74377508,,,8.50E-02,72.68591125,726.5973928,4.420263438,3.98E-03,0.190595927,1447.909434,2763.686009,312.9398957,1370.085171,268.9534398,11.85971574,234.0368135,29.39978148,153.2782741,28.18774417,65.71179085,7.343906079,39.24434238,5.549540641,2.993152859,,7.624468791,2.688326208,,0.512733009,0.06610118
2026,12252,[23497] QU PAN (2019),samp. 17CHZ-13,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / CHAIHEZHEN GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17CHZ-13-02 ,,,,primary,10.95711016,,,5.39E-02,39.7984874,1172.411615,2.10520275,0.010091025,5.80E-03,1784.001115,3788.910902,423.5510081,1728.034013,308.6981751,12.61775945,272.0021335,36.22799235,195.8004701,38.88699041,99.10365371,12.62261166,78.14110055,11.24145694,3.378626561,,33.8295422,6.805669508,,0.512650898,0.056480764
2027,12253,[23497] QU PAN (2019),samp. 17CHZ-13,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / CHAIHEZHEN GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17CHZ-13-03 ,,,,primary,11.45011841,,,7.71E-02,64.57606933,845.2506479,0.962832214,,0.141696448,1843.276672,3080.558844,320.4529522,1367.904441,271.6544495,10.66956068,260.0918995,31.88340532,164.2863169,30.90143254,73.15230647,8.638033429,51.37138515,8.114079758,2.881070242,,27.90704918,7.031866564,,0.51264812,0.053243789
2028,12254,[23497] QU PAN (2019),samp. 17CHZ-13,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / CHAIHEZHEN GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17CHZ-13-04 ,,,,primary,11.37002903,,,8.00E-02,535.0332551,744.7924826,3.240442162,1.09E-02,0.991047569,1373.641907,3346.454651,432.4176967,1934.834631,347.5564271,38.01617801,256.520003,31.27317811,158.2294439,27.60426981,64.40665981,7.334350407,40.91245688,5.067398041,1.505330179,,22.22037928,5.771168787,,0.512633078,0.170056099
2029,12255,[23497] QU PAN (2019),samp. 17CHZ-13,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / CHAIHEZHEN GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17CHZ-13-05,,,,primary,11.12834729,,,6.71E-02,66.11145461,523.2846112,0.390129214,3.99E-03,,1746.418721,2771.858884,263.4074285,1034.686588,175.5026978,9.148634385,153.9757179,18.75921963,95.52191782,18.14792829,44.03263942,5.482039201,34.17265837,5.801109041,3.131246907,,15.77156289,6.78497856,,0.512661089,0.095944436
2030,12256,[23497] QU PAN (2019),samp. 17CHZ-13,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / CHAIHEZHEN GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17CHZ-13-06,,,,primary,1.073532076,,,9.37E-02,86.35821748,775.1155007,6.27E-02,,9.50E-02,1442.19029,2335.925724,210.9673914,795.582605,143.985295,8.001264863,160.5646311,23.885864,147.3361064,31.91009322,86.50532918,10.6213142,63.98495486,9.41782514,2.875090988,,29.13540557,60.34318562,,0.512660673,0.088839754
2031,12257,[23497] QU PAN (2019),samp. 17CHZ-13,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / CHAIHEZHEN GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17CHZ-13-07,,,,primary,9.163588253,,,8.21E-02,123.6707549,1049.491368,5.940998105,9.22E-03,0.339552722,1765.095795,3610.673399,426.6909374,1910.179849,384.4015357,17.75790617,336.980696,42.94370123,221.6676915,40.56962297,94.11011236,10.56495327,57.6101313,7.940908689,3.159302013,,30.04649086,7.589153537,,0.512641935,0.05749788
2032,12258,[23497] QU PAN (2019),samp. 17CHZ-13,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / CHAIHEZHEN GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17CHZ-13-08,,,,primary,10.27418821,,,9.36E-02,97.85921811,637.2976328,3.274576055,1.41E-02,0.182090846,1618.429894,2818.824792,290.164073,1200.25409,219.4190372,9.870330689,198.3250576,24.14233016,127.6998768,23.90496116,56.51230376,6.750759514,39.39294578,5.932587954,4.161898721,,20.86800056,5.341922674,,0.51261,0.071874464
2033,12259,[23497] QU PAN (2019),samp. 17CHZ-13,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / CHAIHEZHEN GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17CHZ-13-09,,,,primary,6.953380135,,,0.034505797,40.28328056,879.8257772,1.450753943,,3.94E-02,2871.259534,4465.563109,401.4197061,1412.417475,216.2618767,9.817038281,181.1377379,24.29180242,135.850379,28.35959057,77.83804123,10.55149976,69.10120247,10.60446702,3.755991611,,53.87398428,19.57451506,,0.51266,0.078838657
2034,12260,[23497] QU PAN (2019),samp. 17CHZ-13,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / CHAIHEZHEN GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17CHZ-13-10,,,,primary,12.35113259,,,0.14751861,134.6403407,916.4096394,1.595246669,3.80E-03,0.207435332,1285.653043,2769.649865,326.5688747,1431.937587,284.8150955,15.35057601,255.5234508,32.86075106,173.1683944,32.3647786,77.01768325,9.097003262,50.51677334,6.759561587,2.559395067,,12.80240645,3.752686092,,0.51272,0.076150028
2035,12261,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-01 ,,,,primary,4.421667557,,,0.207184834,60.6860914,3551.092992,0.67770022,5.45E-02,2.04E-02,2403.266297,5949.139857,672.7873481,2446.009317,440.6164717,22.44304686,366.2686642,57.37831566,355.7275757,71.91852955,218.6650055,40.58260413,326.5378826,49.27380209,12.05863272,,30.2622268,7.057364044,,0.512629173,0.062446679
2036,12262,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-02 ,,,,primary,5.525166557,,,0.628334792,66.45853303,3334.927752,1.086150984,1.96E-02,0.178844454,1676.426287,4198.267966,472.4953991,1730.138701,335.2326118,19.32233318,291.6810603,49.77034254,315.2129173,65.81491334,210.5118613,38.72272517,325.0156574,48.61010646,9.978975714,,32.25239033,7.453773738,,0.512639617,0.077399092
2037,12263,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-03 ,,,,primary,9.504507165,,,0.595914265,42.75243737,4079.114071,0.861916547,1.77E-02,3.03E-02,1385.349199,3729.874507,438.8074523,1612.30451,358.5638857,12.45201647,346.2782956,59.50149614,384.8986778,79.63406693,246.5335694,44.07194602,355.9096581,52.4230071,9.971963215,,15.30575123,4.299606731,,0.512739367,0.040624572
2038,12264,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-04 ,,,,primary,4.74201035,,,0.593651337,118.2399561,2547.728914,8.67285027,0.627076471,0.307645253,1681.872971,3969.915093,442.1767942,1676.290247,308.7050499,24.51513676,266.1667287,40.17456755,244.1262494,50.60751716,152.641409,27.18253608,220.3816747,33.57133932,10.79614371,,49.25970872,10.9871566,,0.51273267,0.112141496
2039,12265,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-05 ,,,,primary,4.429428127,,,0.248973765,157.1908286,2728.988661,0.578721519,2.70E-02,0.316966715,1681.270998,4071.05434,459.0046122,1687.428328,304.3959104,22.93877001,261.502848,41.34592804,259.65896,54.08160411,163.8135947,30.03143893,243.056616,36.86950682,10.26993996,,20.7689453,5.546680992,,0.512650644,0.107555334
2040,12266,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-06 ,,,,primary,3.875817835,,,0.319796972,55.68632314,3794.565185,0.306121135,1.14E-02,4.26E-02,1687.923791,4263.177191,479.9253084,1707.295823,345.7816037,14.53623552,316.2413623,55.61115983,357.1328055,74.89666544,235.6157221,42.48836186,342.4861076,50.6580282,11.21054941,,32.86311554,7.852092323,,0.512678697,0.052879823
2041,12267,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-07 ,,,,primary,4.748806282,,,0.236893245,47.58169462,3727.375075,0.887409177,5.11E-02,,1629.475628,4183.895177,479.3085799,1765.496504,360.0752021,14.83199667,329.3088235,56.69131548,361.8216783,77.03876086,237.1048863,43.05984221,339.1827819,50.07696644,10.24720926,,31.87006868,7.460140853,,0.51263191,0.050775862
2042,12268,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-08 ,,,,primary,5.323196784,,,0.217220688,119.3076272,2269.006556,0.823468537,2.06E-02,0.350542974,1849.930721,4328.522809,466.4070653,1678.463009,274.3408847,22.4579319,218.8894085,33.71352272,205.361551,43.74379251,140.5538522,27.67801265,249.9641019,38.66389029,11.05417511,,36.49229786,8.083553311,,0.512695801,0.132512669
2043,12269,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-09 ,,,,primary,5.128988174,,,4.118483228,43.67200974,5262.007107,0.746953491,0.218213749,0.237366467,2793.878061,6871.278887,766.4724041,2730.836642,542.6449189,17.50632136,494.093329,83.98447242,527.1742385,110.8254389,338.1548246,60.01417156,478.9160886,69.86060803,11.95724184,,42.49261401,9.799127803,,0.512620616,0.032537613
2044,12270,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-11 ,,,,primary,6.032807716,,,0.432380579,53.48514369,4918.682947,1.43384188,7.10E-02,0.100401474,2452.183761,6406.930498,768.8143079,3006.893441,610.4895654,31.64896085,545.1119169,86.4272561,530.7609099,108.5467977,325.0944031,57.12331423,444.2950455,65.61092226,12.21220815,,24.23286225,6.268998774,,0.512627894,0.050268082
2045,12271,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-12 ,,,,primary,2.889793288,,,0.2460891,43.97903832,3408.231074,0.368364756,7.64E-03,5.71E-02,1825.694292,4446.617608,484.0672733,1669.338843,305.5705077,13.02293847,274.7021921,46.90050022,299.1607562,64.32020874,202.0452667,36.20360377,296.998319,44.23562957,12.19941965,,54.57670821,9.651911314,,0.512675779,0.058016136
2046,12272,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-13 ,,,,primary,4.871576767,,,0.188155643,172.1309491,2066.46774,0.575940788,8.98E-03,0.435818282,1607.190722,4024.637435,466.6178609,1778.110968,299.0569854,26.78875525,233.4267418,33.05159926,193.0018386,39.38153989,116.2906842,21.2302605,180.2412645,28.62932486,10.64317019,,35.41611933,8.036615041,,,0.141965432
2047,12273,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-14 ,,,,primary,5.073260854,,,0.326003051,94.14899767,2797.215185,0.595160628,1.14E-02,9.89E-02,1685.108124,4009.824425,440.6549384,1609.874219,295.7417097,21.23467595,256.0253987,41.09790882,255.3119555,54.10392969,165.2318421,29.70388933,245.14784,37.08972544,11.26975942,,34.72994651,8.205338659,,,0.1031725
2048,12274,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-15 ,,,,primary,5.852917825,,,0.302674035,96.69201658,2851.682101,1.154052228,0.022670101,0.112557689,2001.353881,4644.970945,514.082754,1926.956877,340.79075,28.77098713,284.6235457,43.39155429,263.6382853,54.67731248,169.7079984,30.34788246,246.3736869,37.8974759,11.80694274,,39.23366171,9.577042139,,,0.117137971
2049,12275,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-16 ,,,,primary,4.990115493,,,0.239124684,148.6777572,2006.135747,0.783139067,9.21E-03,0.219666549,1782.336482,4041.678319,440.3810748,1619.954002,269.2657378,23.26361304,220.6766571,31.94022401,189.8341609,38.48648764,116.6305106,20.28493043,160.7884654,24.90951854,10.57459174,,33.66830886,7.864920871,,,0.137432004
2050,12276,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-17 ,,,,primary,4.545840335,,,0.375713425,37.08473037,5504.958494,0.586921433,4.36E-02,4.17E-02,1677.676525,4413.513406,517.6211089,1923.234663,444.9483418,18.10800118,440.651541,80.00000957,524.82079,112.7882837,352.8192737,63.66605289,501.4166831,74.06651102,11.85962274,,37.19341018,8.817578891,,,0.041675237
2051,12277,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-18 ,,,,primary,5.352482682,,,0.12491751,102.7901522,2385.00975,0.623069411,9.64E-03,0.143784382,1784.298039,4230.34711,463.0522495,1689.359255,293.1549051,20.97747013,243.302838,37.57600747,233.4309064,49.38911285,154.9544684,29.36069724,250.4308413,38.22503644,9.977325292,,27.16281194,7.110189626,,,0.10772463
2052,12278,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-19 ,,,,primary,4.903309834,,,0.119652583,92.97947383,2539.95592,0.524519863,0.006053234,0.167683744,1692.267718,4173.775089,472.190476,1756.263549,301.0326926,22.31692303,252.8539215,38.47333165,235.9864819,48.79292128,153.1135042,27.96326535,236.1099197,35.56521925,11.44054413,,40.91649063,8.774207527,,,0.108821685
2053,12279,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-20 ,,,,primary,2.924849507,,,0.611564246,30.9326625,4880.999632,0.77851456,0.169783838,0.233473706,2259.524212,5874.956807,685.7971576,2504.932767,531.4210653,16.75926726,492.7711786,85.04285058,538.6350516,110.9157912,336.3844772,59.92402729,483.2729596,69.60082086,8.606696129,,76.48091047,12.26455642,,,0.0315608
2054,12280,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-21 ,,,,primary,10.21586575,,,0.115129274,57.13343707,2365.06457,1.86895797,5.52E-02,1.72E-02,1546.496333,3636.286686,388.5742952,1359.794867,242.243263,12.00383918,206.6187294,33.63278583,215.1926711,45.63415956,143.7447294,26.86491293,222.7001602,33.42672335,10.76876264,,10.31763643,3.43058846,,,0.079851354
2055,12281,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-22 ,,,,primary,4.902459452,,,0.323106166,107.3020885,3012.830262,0.723204102,1.51E-02,0.154741823,1668.697915,4101.575338,460.1846674,1702.249911,311.9588161,22.36396159,274.8507903,43.29880552,265.9906238,55.39191253,172.6758132,31.3603159,257.3876241,39.43383249,11.25806122,,36.63836211,8.279127309,,,0.098550941
2056,12282,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-23 ,,,,primary,2.990226978,,,0.375032805,40.94541112,2640.197326,0.402780907,,,2179.557541,5207.919655,556.122802,1920.358708,319.079803,13.9489416,264.297885,40.95307019,254.7505268,54.09557248,165.8092658,30.0531823,246.2740816,36.29308486,10.19114275,,59.6446861,9.923949923,,,0.063205601
2057,12283,[23497] QU PAN (2019),samp. 17JJG-10,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / INNER MONGOLIA / JIAJIAGOU GRANITE,ZHALANTUN AREA CENTRAL GREAT XING^AN RANGE,47.5,47.5,122,122,subaerial,,,GRANITE,,,,,missing,17JJG-10-24 ,,,,primary,5.111316375,,,0.316832892,51.30665832,4011.422907,0.616572466,0.043403548,5.40E-02,1695.361841,4311.005279,496.2969034,1841.927077,382.6107054,17.95879031,353.7707421,59.34231643,373.4397612,78.52623075,239.3424332,42.99702803,345.934409,50.90808673,10.38732658,,42.13310382,9.466196045,,,0.055518058
2058,12453,[23511] YANG KUI-FENG (2019),samp. 17BY01Y,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / INNER MONGOLIA / BAYAN OBO FORMATION,BAYAN OBO FE-NB-REE DEPOSIT,42,42,110,110,subaerial,,,DOLOSTONE,COARSE-GRAINED,,,,missing,,,,,primary,,,,0.02,9980,277.7,0.04,0.06,56.84,1584,3736,457.4,1883,291.8,80.77,192.8,20.22,88.51,12.45,23.77,2.25,10.62,1.07,7.9,,23.13,,,,0.524635974
2059,12454,[23511] YANG KUI-FENG (2019),samp. 17BY01Y,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / INNER MONGOLIA / BAYAN OBO FORMATION,BAYAN OBO FE-NB-REE DEPOSIT,42,42,110,110,subaerial,,,DOLOSTONE,COARSE-GRAINED,,,,missing,,,,,primary,,,,0.02,10288,176.5,0.04,0.02,38.09,1065,2627,325.6,1343,208.4,56.64,135.9,13.79,58.63,8.1,14.73,1.42,6.53,0.68,5.4,,2.96,,,,0.617607538
2060,12455,[23511] YANG KUI-FENG (2019),samp. 17BY01Y,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / INNER MONGOLIA / BAYAN OBO FORMATION,BAYAN OBO FE-NB-REE DEPOSIT,42,42,110,110,subaerial,,,DOLOSTONE,COARSE-GRAINED,,,,missing,,,,,primary,,,,0.03,10661,280.4,0.04,0.13,75.96,1611,3783,458.9,1893,293.5,80.35,192.9,20.12,87.94,12.55,23.75,2.26,10.6,1.09,8.19,,23.02,,,,0.520124436
